NUTS_ID_2013,NUTS_LABEL,Share_of_retail_in_employment_2020,Change_rate
FRF1,Alsace,0.12,-0.43
FRK2,Rhône-Alpes,0.10,-0.31
BE24,Prov. Vlaams-Brabant,0.08,-0.24
EL42,Notio Aigaio,0.15,-0.22
EL62,Ionia Nisia,0.18,-0.20
BE34,Prov. Luxembourg (BE),0.13,-0.18
EL63,Dytiki Ellada,0.25,-0.17
EL54,Ipeiros,0.17,-0.15
EL64,Sterea Ellada,0.25,-0.13
EL41,Voreio Aigaio,0.21,-0.12
EL61,Thessalia,0.24,-0.11
PL61,Kujawsko-Pomorskie,0.10,-0.11
DE30,Berlin,0.10,-0.11
SK04,Východné Slovensko,0.13,-0.11
IE04,Northern and Western,0.18,-0.10
FRY2,Martinique,0.12,-0.09
EL53,Dytiki Makedonia,0.19,-0.09
DEB2,Trier,0.17,-0.08
PL51,Dolnoslaskie,0.11,-0.08
BG33,Severoiztochen,0.19,-0.08
EL51,Anatoliki Makedonia. Thraki,0.20,-0.07
DE22,Niederbayern,0.12,-0.07
DE23,Oberpfalz,0.12,-0.07
FI20,Åland,0.11,-0.07
ES53,Illes Balears,0.14,-0.07
DE21,Oberbayern,0.12,-0.07
DE40,Brandenburg,0.15,-0.07
DE26,Unterfranken,0.13,-0.06
ES70,Canarias,0.18,-0.06
BG42,Yuzhen tsentralen,0.15,-0.06
SE33,Övre Norrland,0.10,-0.06
SE31,Norra Mellansverige,0.11,-0.06
HU11,Budapest,0.08,-0.06
PL21,Malopolskie,0.12,-0.05
IE05,Southern,0.16,-0.05
EL43,Kriti,0.18,-0.05
BG34,Yugoiztochen,0.17,-0.05
SE11,Stockholm,0.09,-0.05
FI1D,Pohjois- ja Itä-Suomi,0.12,-0.05
DE27,Schwaben,0.13,-0.05
SE32,Mellersta Norrland,0.11,-0.05
RO22,Sud-Est,0.15,-0.05
HU32,Észak-Alföld,0.14,-0.05
HU31,Észak-Magyarország,0.13,-0.05
PT15,Algarve,0.17,-0.04
MT00,Malta,0.12,-0.04
PL62,Warminsko-Mazurskie,0.11,-0.04
IE06,Eastern and Midland,0.13,-0.04
HU23,Dél-Dunántúl,0.13,-0.04
DE12,Karlsruhe,0.12,-0.04
SK02,Západné Slovensko,0.11,-0.04
BG31,Severozapaden,0.19,-0.04
ES22,Comunidad Foral de Navarra,0.11,-0.04
EL65,Peloponnisos,0.23,-0.04
BG32,Severen tsentralen,0.15,-0.04
PL43,Lubuskie,0.12,-0.04
DE24,Oberfranken,0.13,-0.04
DE25,Mittelfranken,0.12,-0.04
PL52,Opolskie,0.09,-0.04
SE22,Sydsverige,0.11,-0.04
SK03,Stredné Slovensko,0.12,-0.04
PL82,Podkarpackie,0.12,-0.04
ES43,Extremadura,0.18,-0.04
ES61,Andalucía,0.17,-0.04
HU33,Dél-Alföld,0.14,-0.04
SE23,Västsverige,0.10,-0.04
SE21,Småland med öarna,0.11,-0.04
ES30,Comunidad de Madrid,0.11,-0.04
HU21,Közép-Dunántúl,0.10,-0.03
FI1B,Helsinki-Uusimaa,0.08,-0.03
DEB1,Koblenz,0.17,-0.03
CY00,Kypros,0.14,-0.03
RO41,Sud-Vest Oltenia,0.15,-0.03
AT12,Niederösterreich,0.14,-0.03
